,Date,Region,Source,Ship Type,Area,Location,Pollutant,Estimated Litres
7,15/07/2016,Brisbane,Ship,Fishing,Coastal Waters,"Caboolture River, Brisbane",Other ,Unknown
8,21/07/2016,Townsville,Unknown,,Port Limits,"Berth 8, Townsville Port, Townsville",Sheen,Unknown
9,23/07/2016,Cairns,Ship,Commercial,Port Limits,"Fearnley Street boat ramp, Trinity Inlet, Cairns",Bilge,15
10,25/07/2016,Brisbane,Ship,Recreational,Port Limits,"Berth number 2, Fisherman Islands,  Brisbane",Other (Hydraulic Oil),10
11,1/08/2016,Cairns,Ship,Commercial,Port Limits,"Hey River terminal, Weipa",Other (Hydraulic Oil),Unknown
12,21/08/2016,Townsville,Ship,Recreational,Port Limits,"Berth J15, Townsville Yacht Club marina, Townsville",Diesel,30
13,22/08/2016,Gladstone,Unknown,,Port Limits,"Urangan harbour, Hervey Bay",Sheen,Unknown
14,2/09/2016,Gladstone,Land,,Port Limits,"Wiggins Island Coal Export Terminal Wharf, Gladstone",Other (Coal Slurry),10
15,9/09/2016,Cairns,Unknown,,Port Limits,"Marlin Marina, Trinity Inlet, Cairns",Diesel,20
16,9/09/2016,Cairns,Ship,Commercial,Coastal Waters,"Flynn Reef, Cairns",Diesel,2
17,10/09/2016,Gladstone,Unknown,,Port Limits,"Bundaberg Port Marina, Bundaberg",Diesel,Unknown
18,14/09/2016,Gladstone,Land,,Port Limits,"Gladstone Marine Centre, Gladstone Marina, Gladstone",Other (sewage),20
19,20/09/2016,Cairns,Unknown,,Port Limits,"Cairns crusing yacht squadron, Smiths Creek Cairns",Other (Paint),Unknown
20,22/09/2016,Cairns,Unknown,,Port Limits,"Marlin Marina, Trinity Inlet, Cairns",Diesel,Unknown
21,4/10/2016,Cairns,Ship,Commercial,Port Limits,"Trinity Wharf, Chinaman Creek, Cairns",Sheen,Unknown
22,7/10/2016,Gladstone,Ship,Commercial,Port Limits,"Upstream of main bridge, Auckland Creek, Gladstone",Other (Sand blasting sand),Unknown
23,9/10/2016,Townsville,Unknown,,Coastal Waters,"Norship base, Port Hinchinbrook",Diesel,Unknown
24,17/10/2016,Gladstone,Unknown,,Coastal Waters,"Eurong, East side of Fraser Island",Oil,Unknown
25,18/10/2016,Gladstone,Ship,Commercial,Port Limits,"Clinton swing basin, Gladstone harbour, Gladstone",Other (Hydraulic Oil),5
26,20/10/2016,Townsville,Unknown,,Port Limits,"Berth 8, Townsville Port, Townsville",Diesel,10
27,21/10/2016,Cairns,Ship,Commercial,Port Limits,"Humbug wharf, Weipa",Sheen,Unknown
28,22/10/2016,Cairns,Ship,Recreational,Port Limits,"South of Passenger wharf, Horn Island anchorage, Horn Island",Sheen,Unknown
29,27/10/2016,Gladstone,Ship,Commercial,Port Limits,"Curtis ferries pontoon, Gladstone marina, Gladstone",Diesel,Unknown
30,5/11/2016,Cairns,Ship,Navy,Port Limits,"Navy base, Cairns",Diesel,20
31,10/11/2016,Brisbane,Unknown,,Port Limits,"Lawries Marina, Mooloolaba",Diesel,Unknown
32,16/11/2016,Brisbane,Ship,Commercial,Port Limits,"Brisabne Anchorage, Brisbane",Unknown,5
33,24/11/2016,Brisbane,Unknown,,Coastal Waters,"Holman Street Ferry terminal, Kangaroo Point, Brisbane River",Unknown,Unknown
34,25/11/2016,Gladstone,Ship,Commercial,Port Limits,"Ship berth, Port Alma",Oil,Unknown
35,17/12/2016,Brisbane,Ship,Recreational,Coastal Waters,"Dog Beach, entrance to the Noosa River, Sunshine Coast",Bilge,Unknown
36,20/12/2016,Cairns,Ship,Trading Ship,Port Limits,"Smiths Creek, Cairns",Diesel,10
37,23/12/2016,Brisbane,Unknown,,Port Limits,"Aquarium Passage, Pinkenba Reach, Brisbane River, Brisbane",Diesel,Unknown
38,25/12/2016,Cairns,Ship,Commercial,Coastal Waters,Ribbon Reef number 3,Diesel,600
39,27/12/2016,Townsville,Ship,Commercial,Port Limits,"Tug pens, Berth 6, Port of Townsville",Other (Hydraulic Oil),5
40,2/01/2017,Brisbane,Unknown,,Coastal Waters,"Spinnaker Sound Marina, Sandstone Point",Other (sump oil),5
41,5/01/2017,Cairns,Ship,Commercial,Port Limits,"Duck Pond, Smiths Creek, Cairns",Other (Hydraulic Oil),1.5
42,9/01/2017,Brisbane,Unknown,,Coastal Waters,"Thompsons Beach, Victoria Point",Diesel,Unknown
